ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um
147 202.512 47.2166 8.8417e+36 4.6991e+35 1.0789e+36 1.6283e+35 1.1292 0.2501 2.1662e-02 3.6255e-03 2.5446e-03 9.8884e-03
148 202.512 47.2172 1.2816e+37 6.7326e+35 2.069e+36 1.8023e+35 1.5713 0.1109 2.6401e-02 4.3410e-03 2.7723e-03 1.1917e-02
149 202.512 47.2183 9.1437e+36 4.8531e+35 9.9273e+35 1.2271e+35 0.9446 0.1777 2.2394e-02 3.4059e-03 3.3029e-03 1.0819e-02
150 202.5111 47.1622 1.7419e+37 9.1023e+35 1.4874e+36 1.8946e+35 0.5653 0.2393 1.2172e-02 5.7059e-03 6.8611e-03 1.7971e-02
151 202.5111 47.1628 3.3064e+37 1.7185e+36 2.106e+36 2.3585e+35 0.1021 0.2256 1.5927e-02 7.6603e-03 9.2163e-03 2.3005e-02
152 202.5111 47.1633 7.5755e+37 3.9279e+36 5.6421e+36 5.9139e+35 0.3492 0.2218 2.8959e-02 1.3114e-02 1.2480e-02 3.9130e-02
153 202.5111 47.1639 6.9035e+37 3.58e+36 9.3478e+36 8.8367e+35 1.2935 0.1724 2.4910e-02 1.0390e-02 1.1846e-02 3.3422e-02
154 202.5111 47.1644 3.543e+37 1.8408e+36 4.0285e+36 3.7771e+35 1.0175 0.1787 1.3893e-02 5.3701e-03 1.0994e-02 1.8666e-02
155 202.5111 47.1661 7.7444e+37 4.0154e+36 7.9476e+36 5.8333e+35 0.8556 0.0779 4.8244e-02 1.1605e-02 1.3556e-02 5.6931e-02
156 202.5111 47.1666 1.72e+37 8.9894e+35 1.5886e+36 1.8067e+35 0.6891 0.2481 1.6550e-02 3.4816e-03 7.5019e-03 1.8252e-02
157 202.5112 47.2055 2.7786e+37 1.4455e+36 2.5364e+36 3.0093e+35 0.6706 0.1866 4.2453e-02 7.6627e-03 8.3627e-03 2.8408e-02
158 202.5112 47.2172 1.9845e+37 1.0353e+36 1.5076e+36 2.2672e+35 0.3805 0.2515 3.5240e-02 4.9787e-03 4.7707e-03 1.6832e-02
159 202.5112 47.2178 2.5671e+37 1.3361e+36 2.8593e+36 2.9736e+35 0.985 0.1407 4.3311e-02 5.6614e-03 4.5194e-03 2.0232e-02
